round,strategy,c_loss,c_accuracy,d_accuracy
4,FedOpt,1.9754609699490704,0.282,0.282
5,FedOpt,1.897537860689284,0.3077,0.3077
6,FedOpt,1.8072509886343269,0.3394,0.3394
7,FedOpt,1.732128446615195,0.3644,0.3644
8,FedOpt,1.6903088696395294,0.3796,0.3796
9,FedOpt,1.651823449738418,0.3949,0.3949
10,FedOpt,1.631504147867613,0.3976,0.3975999999999999
11,FedOpt,1.6020978553385674,0.4057,0.4057
12,FedOpt,1.5769251192672342,0.4207,0.4207
13,FedOpt,1.5564447007601774,0.4268,0.4267999999999999
14,FedOpt,1.5308102173141287,0.4363,0.4363
15,FedOpt,1.5248114021518562,0.4429,0.4429
16,FedOpt,1.5102837040454526,0.4528,0.4528
17,FedOpt,1.4834847691692885,0.4594,0.4594
18,FedOpt,1.478843516941312,0.4668,0.4668
19,FedOpt,1.4477367386033264,0.4743,0.4743
20,FedOpt,1.4357128777081454,0.4807,0.4807
21,FedOpt,1.4267605497867246,0.4848,0.4847999999999999
22,FedOpt,1.4249269901951658,0.487,0.487
23,FedOpt,1.4056581319132937,0.494,0.494
24,FedOpt,1.389243791374979,0.5054,0.5054
25,FedOpt,1.390797435482846,0.4998,0.4997999999999999
26,FedOpt,1.3586877463739129,0.5156,0.5156
27,FedOpt,1.3641912363752533,0.5157,0.5157
28,FedOpt,1.3418721262412736,0.5247,0.5247
29,FedOpt,1.3365102961093565,0.5194,0.5194
30,FedOpt,1.3253856550289105,0.5306,0.5305999999999998
31,FedOpt,1.3155745245233368,0.532,0.5320000000000001
32,FedOpt,1.3196694217150724,0.5305,0.5304999999999999
33,FedOpt,1.2984101832667485,0.538,0.538
34,FedOpt,1.2975759687302988,0.5382,0.5382
35,FedOpt,1.2718410869187946,0.5475,0.5475
36,FedOpt,1.2753119996831388,0.5517,0.5517
37,FedOpt,1.2675657362877568,0.5458,0.5458
38,FedOpt,1.2603316397606572,0.5525,0.5525
39,FedOpt,1.2453070803533626,0.5539,0.5539000000000001
40,FedOpt,1.2469843158239051,0.5578,0.5577999999999999
41,FedOpt,1.2446217853811723,0.5594,0.5594
42,FedOpt,1.2491908201688453,0.5566,0.5565999999999999
43,FedOpt,1.223208548147467,0.5695,0.5695
44,FedOpt,1.2178853101368192,0.5722,0.5722
45,FedOpt,1.2145994962016238,0.573,0.573
46,FedOpt,1.2082722081413753,0.5722,0.5722
47,FedOpt,1.2022000717211374,0.5784,0.5784
48,FedOpt,1.1983686836459968,0.5799,0.5799
49,FedOpt,1.1893979333624054,0.5841,0.5841
50,FedOpt,1.196247641044327,0.5757,0.5757
51,FedOpt,1.1761738627771787,0.5869,0.5869
52,FedOpt,1.177027801169625,0.5875,0.5875
53,FedOpt,1.1727707469010655,0.5872,0.5872
54,FedOpt,1.1686651819868932,0.5899,0.5899
55,FedOpt,1.1605422685417948,0.594,0.5939999999999999
56,FedOpt,1.164586919017985,0.5904,0.5904
57,FedOpt,1.1562642077856429,0.5968,0.5968
58,FedOpt,1.1614712069306192,0.5929,0.5929
59,FedOpt,1.1581424557709996,0.5938,0.5938
60,FedOpt,1.174043656149997,0.5846,0.5846
61,FedOpt,1.1411398928376693,0.597,0.597
62,FedOpt,1.1491147770157344,0.5922,0.5922
63,FedOpt,1.147740883917748,0.5937,0.5937
64,FedOpt,1.1316505444200733,0.5997,0.5997
65,FedOpt,1.13550105351436,0.5983,0.5983
66,FedOpt,1.13351792700683,0.6001,0.6001
67,FedOpt,1.12985605529592,0.6022,0.6022
68,FedOpt,1.1293704705902292,0.6033,0.6033
69,FedOpt,1.1266901545886752,0.5999,0.5999
70,FedOpt,1.116366999813273,0.6019,0.6019
71,FedOpt,1.1271801553195036,0.5992,0.5992
72,FedOpt,1.1161021243167828,0.6038,0.6038
73,FedOpt,1.1194605525535872,0.6033,0.6033
74,FedOpt,1.115016308011888,0.606,0.606
75,FedOpt,1.125087654288811,0.5989,0.5989
76,FedOpt,1.112365670596497,0.6047,0.6047
77,FedOpt,1.1115599101102804,0.6062,0.6061999999999999
78,FedOpt,1.1225118478642235,0.6031,0.6031
79,FedOpt,1.1137691811670232,0.6077,0.6076999999999999
80,FedOpt,1.1106916002080411,0.6079,0.6079
